c_id,ct
1,synthetic_type_a
2,synthetic_type_b
3,synthetic_type_c
4,synthetic_type_d
5,synthetic_type_a
6,synthetic_type_b
7,synthetic_type_c
8,synthetic_type_d
9,synthetic_type_a
10,synthetic_type_b
11,synthetic_type_c
12,synthetic_type_d
13,synthetic_type_b
14,synthetic_type_c
15,synthetic_type_d
16,synthetic_type_a
17,synthetic_type_b
18,synthetic_type_c
19,synthetic_type_d
20,synthetic_type_a
21,synthetic_type_b
22,synthetic_type_c
23,synthetic_type_d
24,synthetic_type_a
25,synthetic_type_c
26,synthetic_type_d
27,synthetic_type_a
28,synthetic_type_b
29,synthetic_type_c
30,synthetic_type_d
31,synthetic_type_a
32,synthetic_type_b
33,synthetic_type_c
34,synthetic_type_d
35,synthetic_type_a
36,synthetic_type_b
37,synthetic_type_d
38,synthetic_type_a
39,synthetic_type_b
40,synthetic_type_c
41,synthetic_type_d
42,synthetic_type_a
43,synthetic_type_b
44,synthetic_type_c
45,synthetic_type_d
46,synthetic_type_a
47,synthetic_type_b
48,synthetic_type_c
49,synthetic_type_a
50,synthetic_type_b
51,synthetic_type_c
52,synthetic_type_d
53,synthetic_type_a
54,synthetic_type_b
55,synthetic_type_c
56,synthetic_type_d
57,synthetic_type_a
58,synthetic_type_b
59,synthetic_type_c
60,synthetic_type_d
61,synthetic_type_b
62,synthetic_type_c
63,synthetic_type_d
64,synthetic_type_a
65,synthetic_type_b
66,synthetic_type_c
67,synthetic_type_d
68,synthetic_type_a
69,synthetic_type_b
70,synthetic_type_c
71,synthetic_type_d
72,synthetic_type_a
73,synthetic_type_c
74,synthetic_type_d
75,synthetic_type_a
76,synthetic_type_b
77,synthetic_type_c
78,synthetic_type_d
79,synthetic_type_a
80,synthetic_type_b
81,synthetic_type_c
82,synthetic_type_d
83,synthetic_type_a
84,synthetic_type_b
85,synthetic_type_d
86,synthetic_type_a
87,synthetic_type_b
88,synthetic_type_c
89,synthetic_type_d
90,synthetic_type_a
91,synthetic_type_b
92,synthetic_type_c
93,synthetic_type_d
94,synthetic_type_a
95,synthetic_type_b
96,synthetic_type_c
