cell_id,synthetic_gene_01,synthetic_gene_02,synthetic_gene_03,synthetic_gene_04,synthetic_gene_05,synthetic_gene_06,synthetic_gene_07,synthetic_gene_08,synthetic_gene_09,synthetic_gene_10,synthetic_gene_11,synthetic_gene_12,synthetic_gene_13,synthetic_gene_14,synthetic_gene_15,synthetic_gene_16,synthetic_gene_17,synthetic_gene_18,synthetic_gene_19,synthetic_gene_20,synthetic_gene_21,synthetic_gene_22,synthetic_gene_23,synthetic_gene_24
1,7,2,7,8,7,5,6,6,7,5,4,7,7,5,5,9,7,2,6,8,9,2,5,8
2,0,12,7,8,3,9,7,9,0,9,7,9,3,10,4,7,3,9,7,9,3,11,5,9
3,0,4,13,6,1,2,13,6,3,2,14,6,3,5,12,9,3,3,14,7,3,4,12,8
4,4,3,7,10,3,5,7,13,1,6,7,13,4,5,5,11,2,6,5,10,3,4,7,10
5,10,5,7,4,10,3,7,6,9,4,5,3,9,5,8,3,10,5,5,5,10,3,8,5
6,2,13,6,3,2,12,5,5,1,10,8,5,2,11,7,6,2,10,6,3,1,13,7,4
7,2,4,9,7,5,6,10,7,2,6,9,5,5,5,9,6,2,6,9,7,5,7,10,6
8,4,5,5,11,2,6,2,14,4,6,4,11,4,4,2,11,4,5,5,13,4,7,5,12
9,10,7,4,7,11,4,2,5,12,5,5,7,11,6,2,6,10,6,2,6,11,4,3,6
10,3,11,3,5,5,11,3,5,3,10,3,6,3,9,3,5,3,11,4,7,4,11,4,5
11,6,3,11,8,4,3,12,8,6,4,10,8,3,2,12,5,4,1,11,7,4,3,11,5
12,5,2,4,14,5,2,5,13,5,2,3,12,3,2,4,13,5,3,6,14,6,3,6,14
13,1,10,5,8,0,10,4,7,2,9,4,8,0,10,5,7,2,9,7,7,1,12,6,8
14,0,5,12,7,1,5,11,9,1,4,13,8,3,5,14,8,1,3,12,8,2,2,13,9
15,1,5,6,16,2,5,7,16,0,5,6,16,2,3,7,14,1,3,5,13,2,4,5,16
16,8,6,7,5,9,4,7,3,8,6,8,5,10,4,6,4,11,5,8,5,9,4,7,4
17,2,13,6,6,1,11,8,6,1,10,8,3,2,12,8,4,4,13,8,5,4,11,7,4
18,1,3,12,5,3,3,15,5,1,5,12,6,2,5,15,4,4,4,14,6,2,5,13,5
19,4,7,3,14,2,6,3,12,3,6,2,12,5,7,5,11,5,7,4,14,5,5,5,13
20,11,4,2,4,9,5,4,5,11,5,5,5,10,5,5,7,12,4,5,7,11,6,2,6
21,5,14,5,5,5,11,5,6,5,12,3,6,2,13,4,7,4,11,5,4,4,13,2,6
22,5,2,11,6,4,3,13,7,3,2,11,7,4,3,13,5,3,1,12,7,3,3,10,7
