id_histology,id_xenium,overlap,size_pix_histology
1,1,1.0,441
2,2,1.0,223
3,3,1.0,373
4,4,1.0,487
5,5,1.0,297
6,6,1.0,403
7,7,1.0,223
8,8,1.0,275
9,9,1.0,309
10,10,1.0,253
11,11,1.0,411
12,12,1.0,331
13,13,1.0,197
14,14,1.0,331
15,15,1.0,373
16,16,1.0,441
17,17,1.0,219
18,18,1.0,441
19,19,1.0,237
20,20,1.0,339
21,21,1.0,331
22,22,1.0,197
23,23,1.0,411
24,24,1.0,245
25,25,1.0,403
26,26,1.0,403
27,27,1.0,377
28,28,1.0,223
29,29,1.0,197
30,30,1.0,487
31,31,1.0,279
32,32,1.0,197
33,33,1.0,487
34,34,1.0,327
35,35,1.0,441
36,36,1.0,281
37,37,1.0,197
38,38,1.0,377
39,39,1.0,411
40,40,1.0,377
41,41,1.0,175
42,42,1.0,445
43,43,1.0,175
44,44,1.0,327
45,45,1.0,373
46,46,1.0,297
47,47,1.0,361
48,48,1.0,259
49,49,1.0,373
50,50,1.0,411
51,51,1.0,309
52,52,1.0,441
53,53,1.0,279
54,54,1.0,237
55,55,1.0,331
56,56,1.0,339
57,57,1.0,223
58,58,1.0,441
59,59,1.0,331
60,60,1.0,297
61,61,1.0,445
62,62,1.0,197
63,63,1.0,403
64,64,1.0,373
65,65,1.0,327
66,66,1.0,373
67,67,1.0,339
68,68,1.0,339
69,69,1.0,279
70,70,1.0,403
71,71,1.0,317
72,72,1.0,223
73,73,1.0,373
74,74,1.0,197
75,75,1.0,297
76,76,1.0,297
77,77,1.0,317
78,78,1.0,403
79,79,1.0,331
80,80,1.0,259
81,81,1.0,377
82,82,1.0,275
83,83,1.0,377
84,84,1.0,279
85,85,1.0,317
86,86,1.0,197
87,87,1.0,197
88,88,1.0,309
89,89,1.0,175
90,90,1.0,309
91,91,1.0,441
92,92,1.0,327
93,93,1.0,487
94,94,1.0,339
95,95,1.0,403
96,96,1.0,245
